no	phrase	url
75	WHAT ARE YOU DOING UP?	https://www.youtube.com/shorts/-bCY_WhYS6Q
76	YOU GOT ME THERE	https://www.youtube.com/shorts/1Wmk70w5TtA
77	THAT'S CUTTING IT CLOSE	https://www.youtube.com/shorts/AMWeeqaFfmc
78	WHAT'S ON YOUR MIND?	https://www.youtube.com/shorts/hB-Iu7uqp4Q
79	THAT CAME OUT WRONG	https://www.youtube.com/shorts/b1ca1kuOqwA
80	LEAVE IT WITH ME	https://www.youtube.com/shorts/Cl1YRIRgnpc
81	YOU'RE FULL OF IT	https://www.youtube.com/shorts/csyLcm2CkFw
82	THAT'S NOT GONNA FLY	https://www.youtube.com/shorts/1MvmkVF8H7c
83	WHAT ARE YOU AFRAID OF?	https://www.youtube.com/shorts/V03ZqZ02Rac
84	PICK YOUR BATTLES	https://www.youtube.com/shorts/BZ21flqyNPg
85	I DIDN'T SIGN UP FOR THIS	https://www.youtube.com/shorts/b8AUl9zmbkI
86	I'LL LET YOU CATCH UP	https://www.youtube.com/shorts/UIigzJr9fv8
87	YOU HAVE NO IDEA WHAT YOU'RE UP AGAINST	https://www.youtube.com/shorts/EDT_-Akj1CE
88	THAT CHECKS OUT	https://www.youtube.com/shorts/1_lLhh9FgV4
89	WHAT'S YOUR TAKE?	https://www.youtube.com/shorts/L1NdI_9A4c0
90	IT KIND OF IS	https://www.youtube.com/shorts/BFD-7LMGrV0
91	SAME OLD SAME OLD	https://www.youtube.com/shorts/wqKO8F9lrl0
92	THIS HAS NOTHING TO DO WITH YOU	https://www.youtube.com/shorts/_HSjgEh0Wb4
93	I WAS JUST ABOUT TO	https://www.youtube.com/shorts/-sKuySEIdgc
94	DO YOU WANT SOME COMPANY?	https://www.youtube.com/shorts/t8x0OW6Hs1Y
95	COME AGAIN?	https://www.youtube.com/shorts/88KBs1qogwU
96	THAT'S ONE WAY TO PUT IT	https://www.youtube.com/shorts/vbwe3vySaGc
97	ANY DAY NOW	https://www.youtube.com/shorts/voupWmzz-zw
98	WHY WOULD YOU DO A THING LIKE THAT?	https://www.youtube.com/shorts/3CTmUCV24Cs
99	LET ME CUT TO THE CHASE	https://www.youtube.com/shorts/SfrvslBtj9c
100	FIRE AWAY	https://www.youtube.com/shorts/6CIEWnqNSH0
101	HOW WOULD YOU KNOW THAT?	https://www.youtube.com/shorts/uP_Wptp3k3E
102	ARE WE STILL ON FOR TOMORROW?	https://www.youtube.com/shorts/Y7R3dl-fweI
103	I LIKE THAT ABOUT YOU	https://www.youtube.com/shorts/kEBUg4lRKR0
104	LET ME GET BACK TO YOU	https://www.youtube.com/shorts/d_fYYDUxeAg
105	STAY IN YOUR LANE	https://www.youtube.com/shorts/iWjQ3aQlxm4
106	NOT EVEN A LITTLE	https://www.youtube.com/shorts/h8YtplQj1jw
